meanCSF	meanCRF	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	level	family	phylum	class	order	genus	species
family137	2.49366608813613e-06	0	0.0851463756202877	0.721382087222733	3.11653965008542	0.231468926507308	0.816950523048525	NA	nosig	Haloplasmataceae	Firmicutes	Bacilli	Haloplasmatales		
family138	1.03532713454308e-05	1.92899001940564e-06	0.518524067224356	1.95811493644482	1.71477521021128	1.14190765342564	0.253492407032349	NA	NA	Halothiobacillaceae	Proteobacteria	Gammaproteobacteria	Chromatiales	Halothiobacillus	
family139	4.67517761860754e-06	7.51587560365196e-06	0.502611474907044	-0.704916852719234	1.48434415022306	-0.474901223286596	0.634857379493819	NA	nosig	Helicobacteraceae	Proteobacteria	Epsilonproteobacteria	Campylobacterales		
family14	6.69441746931992e-06	8.31905922124833e-06	0.662851575712374	-0.516467276272416	1.56555367186244	-0.32989432783739	0.741479809539798	NA	nosig	[Paraprevotellaceae]	Bacteroidetes	Bacteroidia	Bacteroidales	CF231	
family140	2.10879705780635e-06	0	0.0890861603551361	0.721382087222733	3.11653965008542	0.231468926507308	0.816950523048525	NA	nosig	Heliobacteriaceae	Firmicutes	Clostridia	Clostridiales		
family141	5.21760896529557e-05	0.000114454626746625	6.79879485180676	-1.20314187951268	0.442664948227312	-2.71795154400809	0.00656874572647792	0.0675338021410038	nosig	HTCC2089	Proteobacteria	Gammaproteobacteria	HTCC2188		
family142	0.000183125195449917	0.00036744734360535	22.1796107663834	-1.02582837369506	0.314383043207184	-3.262988878885	0.00110243845933088	0.0218037828623218	depleted	Hydrogenophilaceae	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Thiobacillus	
family143	0.0123145562506518	0.0110287178742765	943.598479446359	0.109483973614491	0.208322283036852	0.525550949319828	0.599200244816621	0.786100009942464	nosig	Hyphomicrobiaceae	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobium	
family144	0.000998577795438448	0.000781955107157989	70.4745835620342	0.3351172290865	0.259402662587065	1.29188045236052	0.196398548232136	0.514102082137061	nosig	Hyphomonadaceae	Proteobacteria	Alphaproteobacteria	Rhodobacterales		
family145	0.000209001380130673	0.000220904583711917	16.9714635747716	-0.0645591782797624	0.332965540945919	-0.193891470259525	0.846260862708717	0.917513473482891	nosig	Iamiaceae	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamia	
family146	0.000102418877298226	9.46573081675107e-05	8.13706406795229	0.050784587511582	0.413577205709266	0.122793487674179	0.902270631316397	0.942175711626449	nosig	Ignavibacteriaceae	Chlorobi	Ignavibacteria	Ignavibacteriales		
family147	0.0016144835919525	0.00142496009252073	119.638826240886	0.185018277372005	0.255367584889354	0.724517473320547	0.468748103779932	0.733099173884422	nosig	Intrasporangiaceae	Actinobacteria	Actinobacteria	Actinomycetales		
family148	0.000341281612063793	0.000319299246723097	26.295008972176	0.065742844641433	0.334449507176348	0.196570313995913	0.844163803327165	0.917513473482891	nosig	Isosphaeraceae	Planctomycetes	Planctomycetia	Gemmatales		
family149	1.69128955906546e-05	2.14225394140307e-05	1.57705119891009	-0.296337754298283	0.929877634354518	-0.318684677800631	0.749965634665871	NA	nosig	JdFBGBact	Actinobacteria	Acidimicrobiia	Acidimicrobiales		
family15	2.15892261126008e-06	1.73054093248468e-06	0.18217919101044	0.240492681919628	2.86676977673847	0.083889778618092	0.93314406639468	NA	nosig	[Pedosphaeraceae]	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]	Pedosphaera	
family150	1.12183127979668e-05	2.01961596786133e-05	1.2611214140763	-0.86639324312854	0.960198315506043	-0.902306564318366	0.366894039486362	NA	nosig	JTB38	Proteobacteria	Deltaproteobacteria	NB1-j		
family151	0.000134366788577658	0.000191959427116936	12.9112968498435	-0.525545851152075	0.342991769481579	-1.53224041482518	0.125463118798672	0.437890885218896	nosig	Kineosporiaceae	Actinobacteria	Actinobacteria	Actinomycetales		
family152	0	9.64331470997856e-06	0.36435996631814	-1.89856747749586	2.05430800279602	-0.924188327608037	0.355388271766866	NA	NA	koll13	Actinobacteria	Acidimicrobiia	Acidimicrobiales		
family153	0.00024368237881423	0.000245888707686408	19.8670075817753	0.0198942180279771	0.293132466781982	0.0678676717266308	0.945890973620664	0.969283514078202	nosig	Koribacteraceae	Acidobacteria	Acidobacteriia	Acidobacteriales		
family154	0	1.87491328526056e-06	0.0555921393441893	-0.240402929370164	3.11653965008542	-0.0771377734159661	0.938513943666184	NA	nosig	KSB4	WS3	PRR-12	GN03		
family155	0.000133722864814853	0.000231981066568401	14.6741786748062	-0.770877338682182	0.355564072834481	-2.16804057996331	0.0301555991449076	0.209823267822059	nosig	Lachnospiraceae	Firmicutes	Clostridia	Clostridiales	Coprococcus	
family156	3.50987024305302e-05	5.75070137104498e-05	4.11885231838008	-0.899259529746042	0.936669361493744	-0.960060792756108	0.337024619520384	0.643111966131238	nosig	Lactobacillaceae	Firmicutes	Bacilli	Lactobacillales	Lactobacillus	
family157	7.62100726601142e-05	3.57127382434646e-05	4.41625036060566	0.989459080085829	0.637814157555678	1.5513281860625	0.120823055451595	0.430130077407679	nosig	Legionellaceae	Proteobacteria	Gammaproteobacteria	Legionellales	Legionella	
family158	2.10879705780635e-06	7.46088248734129e-06	0.324099704823081	-0.911366495217297	2.13036687676848	-0.427797908968494	0.668798259450008	NA	nosig	Leptospiraceae	Spirochaetes	[Leptospirae]	[Leptospirales]	Turneriella	
family159	1.734069966255e-06	0	0.0946443286829393	0.721382087222733	3.11653965008542	0.231468926507308	0.816950523048525	NA	nosig	lheB3-7	Chlorobi	Ignavibacteria	Ignavibacteriales		
family16	7.86974719607313e-06	5.03534219897765e-06	0.588702065954919	0.653565280089907	1.56592796365631	0.41736612108509	0.67641063142236	NA	nosig	[Thermobaculaceae]	Chloroflexi	[Thermobacula]	[Thermobaculales]		
family160	0.00323703376504309	0.00401754826139323	294.77794183474	-0.343291280540318	0.244327000952931	-1.40504847684212	0.160006863575315	0.459374543813001	nosig	mb2424	Acidobacteria	Acidobacteria-6	iii1-15		
family161	0.00050149979988941	0.000861132837234041	52.0305661988643	-0.721721036348166	0.366439892760514	-1.96954821406371	0.0488901716991044	0.255954428307076	nosig	Methanobacteriaceae	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacterium	
family162	1.13238652884697e-05	4.80401788281581e-05	2.24379651978834	-2.04905205247711	1.06147414546347	-1.93038338355613	0.0535593522436937	0.272387562839356	nosig	Methanocellaceae	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocella	
family163	2.29281020575679e-06	3.60545421774523e-06	0.242177311088575	-0.240397906362203	2.24219352787826	-0.107215502753541	0.914618016903044	NA	nosig	Methanomicrobiaceae	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoculleus	
family164	4.58562041151358e-06	1.83614263155962e-06	0.250613214904636	0.721389162826516	2.65398367572904	0.271813715142145	0.785765258976471	NA	nosig	Methanoregulaceae	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanolinea	
family165	1.94897717587986e-05	4.36923430663325e-05	2.54033274103944	-1.13185240576889	0.718349467586796	-1.57562921229859	0.115111279797852	0.426870995917034	nosig	Methanosaetaceae	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaeta	
family166	6.05645934738553e-05	0.00010630625172972	6.39601754969943	-0.769167351917422	0.495417686848316	-1.55256336690483	0.120527483127142	0.430130077407679	nosig	Methanosarcinaceae	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcina	
family167	4.59965850155013e-05	2.31184524695429e-05	2.71551912450906	0.902268790091289	0.689282383372242	1.30899731642209	0.190535259763099	0.512060663904559	nosig	Methylobacteriaceae	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacterium	
family168	2.21848456903491e-05	2.21902182956989e-05	1.79822975426883	-0.0115842761472477	0.818845268431179	-0.0141470880932632	0.988712633340441	NA	nosig	Methylococcaceae	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylocaldum	
family169	0.000535594938199216	0.000457158925472071	40.0143491220711	0.196497006849404	0.245382985944022	0.800776818708326	0.423260861398284	0.710758804989571	nosig	Methylocystaceae	Proteobacteria	Alphaproteobacteria	Rhizobiales	Pleomorphomonas	
family17	0.000162368589450399	0.000250150545147194	16.599406517602	-0.595458024844055	0.358530938426047	-1.66082745176223	0.0967481060872016	0.400492160081904	nosig	[Thermodesulfovibrionaceae]	Nitrospirae	Nitrospira	Nitrospirales	DCE29	
family170	0.011514924891601	0.00927964882565895	853.741629902945	0.247627398343682	0.214096795944995	1.15661421858598	0.247430010481261	0.55750052994512	nosig	Methylophilaceae	Proteobacteria	Betaproteobacteria	Methylophilales	Methylotenera	mobilis
family171	0.0014690956122996	0.000893517175417317	92.8833008353476	0.730055288771963	0.26257328204014	2.78038680516001	0.00542941844768837	0.0613748582836933	nosig	Microbacteriaceae	Actinobacteria	Actinobacteria	Actinomycetales		
family172	0.00303710267555184	0.0020679568433976	198.545974565744	0.560941054619386	0.269875279042487	2.07851959101106	0.037661528394047	0.219811096969451	nosig	Micrococcaceae	Actinobacteria	Actinobacteria	Actinomycetales		
family173	0.00224207966517315	0.00219824034722732	178.371105544067	-0.00696016762495957	0.263695987622105	-0.0263946664024861	0.978942548263647	0.984473297123894	nosig	Micromonosporaceae	Actinobacteria	Actinobacteria	Actinomycetales	Virgisporangium	ochraceum
family174	0	3.5666835640443e-06	0.163634253945134	-0.721294183577358	2.96330420273479	-0.243408753955023	0.80768876303282	NA	nosig	Microthrixaceae	Actinobacteria	Acidimicrobiia	Acidimicrobiales		
family175	0.00679978348026604	0.0618423278168767	2979.28333630863	-3.33773515902923	0.557545131211021	-5.98648427218703	2.14425312557475e-09	3.81677056352305e-07	depleted	mitochondria	Proteobacteria	Alphaproteobacteria	Rickettsiales		
family176	6.76299071146602e-05	9.35446765809893e-05	6.41300646251658	-0.599277959278781	0.581826961122552	-1.02999345049697	0.303013080104075	0.632229796237305	nosig	MND4	Proteobacteria	Deltaproteobacteria	NB1-j		
family177	8.55046673851591e-05	0.000119567972332475	8.68225650218813	-0.551254360456571	0.469962057718418	-1.17297631032772	0.240805305745151	0.549530056700472	nosig	Moraxellaceae	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Enhydrobacter	
family178	6.00178963532142e-06	5.78533467116728e-06	0.504006092374141	0.240258433387564	1.51271351952065	0.158826129526296	0.873805861728841	NA	nosig	MVS-65	Acidobacteria	Solibacteres	Solibacterales		
family179	0.00318256297723474	0.00124471999242553	175.512102685051	1.34874072527325	0.439585154495856	3.06821263520619	0.00215343329992054	0.0319425939488213	enriched	Mycobacteriaceae	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacterium	
family18	6.47676783378023e-06	1.28356482912721e-05	0.729101142242511	-0.840181952088871	1.94414900915811	-0.432159236833755	0.665625683748825	NA	nosig	[Tissierellaceae]	Firmicutes	Clostridia	Clostridiales	Tissierella_Soehngenia	
family180	0.000157787907409741	0.000168871808391941	12.729638472109	-0.0653624042099917	0.39291215131703	-0.166353735792846	0.867878580063909	0.919538019353427	nosig	Myxococcaceae	Proteobacteria	Deltaproteobacteria	Myxococcales		
family181	0.000122483981456021	0.000134409422177165	9.68889575184358	-0.140771018951622	0.501344731188387	-0.280786872174638	0.778873873215855	0.917513473482891	nosig	Nakamurellaceae	Actinobacteria	Actinobacteria	Actinomycetales		
family182	0.0015675386041007	0.000624021764438594	88.9527408779292	1.17930160165874	0.463935221502467	2.54195315854557	0.0110234945606734	0.103272738515782	nosig	Nannocystaceae	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystis	exedens
family183	3.10607746901405e-05	4.79321264699323e-05	3.36807489908562	-0.736417480985045	0.709566842017907	-1.03784088739375	0.299344137738542	0.632229796237305	nosig	NB1-i	Proteobacteria	Deltaproteobacteria	NB1-j		
family184	9.63497316063741e-06	9.06813531127238e-06	0.66981763784195	0.0172069366976003	1.29431585699667	0.0132942330920114	0.989393049108555	NA	nosig	Neisseriaceae	Proteobacteria	Betaproteobacteria	Neisseriales		
family185	0.000105892211454483	0.000162753039229511	11.0578476433212	-0.653624566447417	0.391972746140444	-1.66752554325097	0.0954099496399151	0.400492160081904	nosig	Nitrosomonadaceae	Proteobacteria	Betaproteobacteria	Nitrosomonadales		
family186	0.00475120853182635	0.00697478111881258	444.520978223585	-0.518402326457272	0.42181021936364	-1.22899423166977	0.219073968755826	0.54159953386857	nosig	Nitrososphaeraceae	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	CandidatusNitrososphaera	
family187	0.00132993387858067	0.00199320862437335	135.730933626492	-0.60847428528968	0.293689914744125	-2.07182560497458	0.0382817078991741	0.219811096969451	nosig	Nitrospiraceae	Nitrospirae	Nitrospira	Nitrospirales	Nitrospira	
family188	0.00203991244609231	0.000973162806829238	118.298707180445	1.04656809626923	0.352921532595467	2.96544132224669	0.00302248997734639	0.0413848627667429	enriched	Nocardiaceae	Actinobacteria	Actinobacteria	Actinomycetales	Nocardia	
family189	0.00361242843450364	0.00280915204172613	251.822040128077	0.355923096707861	0.302838216237769	1.17529122027457	0.239878225850227	0.549530056700472	nosig	Nocardioidaceae	Actinobacteria	Actinobacteria	Actinomycetales		
family19	0.00184522211912669	0.00115148270707896	127.911766688743	0.727863334986122	0.504731150605533	1.4420812626938	0.149279450283573	0.451215116174912	nosig	[Weeksellaceae]	Bacteroidetes	Flavobacteriia	Flavobacteriales	Chryseobacterium	
family190	1.32871262410978e-05	3.42808937504656e-06	0.671945700066377	1.7298318085053	1.37949031174366	1.25396444888316	0.209854927604414	NA	NA	Nocardiopsaceae	Actinobacteria	Actinobacteria	Actinomycetales		
family191	0.000589822414982042	0.000629046304792675	49.6894532369544	-0.138222647351198	0.611086441975833	-0.226191644678421	0.821052368809198	0.917513473482891	nosig	Nostocaceae	Cyanobacteria	Nostocophycideae	Nostocales		
family192	5.96141079607477e-05	7.30801374496417e-05	4.99939908095683	-0.281879164011986	0.558259886817409	-0.504924625014623	0.613611777642328	0.797247419126529	nosig	OM27	Proteobacteria	Deltaproteobacteria	Myxococcales		
family193	7.30273130124039e-06	9.10112780119517e-06	0.643329897956597	-0.488736730388896	1.35533097540388	-0.360603232168626	0.718396072759435	NA	nosig	OM60	Proteobacteria	Gammaproteobacteria	Alteromonadales		
family194	1.05868580857999e-05	1.63147150665452e-05	1.16935404853494	-0.63376197727332	1.04575855816195	-0.606030878090289	0.544494249047039	NA	nosig	OPB35	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]		
family195	0.00216281343517749	0.0013846661031305	147.933695817681	0.573680365376473	0.359297273791992	1.59667330431401	0.110338549326661	0.42228700238011	nosig	Opitutaceae	Verrucomicrobia	Opitutae	Opitutales		
family196	2.49366608813613e-06	1.29801920842287e-05	0.547561489744317	-1.81703924062246	1.51907625691264	-1.19614748262566	0.231639010872282	NA	NA	Oscillochloridaceae	Chloroflexi	Chloroflexi	Chloroflexales	Oscillochloris	
family197	0.0220714292011056	0.0157522455355539	1574.07415638634	0.349384012362204	0.415681028432598	0.840509882492402	0.400622562944957	0.679150630516213	nosig	Oxalobacteraceae	Proteobacteria	Betaproteobacteria	Burkholderiales		
family198	0.000250474859470985	0.000294771599621958	22.1635275906902	-0.213082273641292	0.305842658425629	-0.696705537213694	0.485987092799785	0.733099173884422	nosig	Paenibacillaceae	Firmicutes	Bacilli	Bacillales	Paenibacillus	
family199	2.29281020575679e-06	1.87491328526056e-06	0.146780183578819	0.240491157011572	3.06527903485905	0.0784565301483655	0.937464907505619	NA	nosig	Parachlamydiaceae	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydia	
family2	2.15663899196502e-05	9.25311108208036e-06	1.32940529764173	1.1805510834176	1.03402090857494	1.14170910242483	0.253574955983121	NA	NA	[Bryobacteraceae]	Acidobacteria	Solibacteres	Solibacterales		
family20	3.37963031739767e-05	2.00575654896156e-05	2.22124335248637	0.843317748177736	0.797309294683437	1.0577046496273	0.290190114812718	0.62992488337395	nosig	01D2Z36	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]		
family200	4.45173281701686e-06	0	0.177970107735313	1.20227919814405	2.88744561797927	0.416381590239418	0.6771307975636	NA	NA	Pasteuriaceae	Firmicutes	Bacilli	Bacillales		
family201	3.31659383553282e-05	4.14555525080431e-05	2.79353795034587	-0.386807549121539	0.708090679214382	-0.546268381262549	0.584881467373003	0.786100009942464	nosig	Patulibacteraceae	Actinobacteria	Thermoleophilia	Solirubrobacterales		
family202	3.10913787274147e-05	3.25328773718929e-05	2.44658198622805	-0.216881529527798	0.774620566380925	-0.279984212839948	0.779489617023038	0.917513473482891	nosig	PAUC26f	Acidobacteria	Solibacteres	Solibacterales		
family203	1.87450408618329e-05	2.87011952770607e-05	1.94195155983925	-0.774480250690386	0.873865740148533	-0.886269154525666	0.375472506422124	NA	nosig	Pelobacteraceae	Proteobacteria	Deltaproteobacteria	Desulfuromonadales		
family204	4.79635283420166e-05	6.94280459856799e-05	4.56099758363268	-0.449837990401891	0.601395872610507	-0.747989819832416	0.454466298016529	0.728783793215696	nosig	Peptococcaceae	Firmicutes	Clostridia	Clostridiales	Desulfosporosinus	meridiei
family205	5.29277196380425e-05	0.000106710831148308	6.3639069634303	-0.998521334295862	0.463269342148041	-2.15537969697286	0.0311321338183703	0.209823267822059	nosig	Peptostreptococcaceae	Firmicutes	Clostridia	Clostridiales		
family206	0.000625662766213271	0.000103903529378567	28.722601987163	2.42157520943349	0.521112708653744	4.64693178504406	3.3690851269143e-06	0.000149924288147686	enriched	Phormidiaceae	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Phormidium	
family207	0.00118002332690544	0.000772844522355313	78.3874732494902	0.573844313537792	0.25388103902608	2.26028818748786	0.0238033706315192	0.192590907836837	nosig	Phyllobacteriaceae	Proteobacteria	Alphaproteobacteria	Rhizobiales		
family208	0.00267523769177722	0.00258441486227673	209.539965544844	0.0340434939886125	0.186520810466536	0.182518475570962	0.855175856466783	0.917513473482891	nosig	Pirellulaceae	Planctomycetes	Planctomycetia	Pirellulales		
