id	B8011	B8012	B8013	LF11	LF12	LF13	B8021	B8022	B8023	LF21	LF22	LF23	classification
sucrose	944907.202	975160.294	1099187.85	4238120.79	4412264.04	4488052.3	183014.265	156073.514	194723.928	1076403.24	755681.518	577223.693	sugars
succinic acid	1327080.92	1878198.32	1810965.26	1340076.07	1425448.79	1224745.08	1159724.74	886367.718	1207892.12	2289452.88	1615472.37	1668062.52	short chain carbon organic acids
stearic acid	3571816.35	2631070.52	2687784.33	4591819.31	5193996.37	4503442.09	2261823.5	2227148.42	2220671.85	4144111.48	2478335.15	2800959.5	long chain carbon organic acids
spermidine 2	4742852.16	6715429.28	5925741.94	11304377.4	13269863.6	11296102.3	9912620.84	7575956.62	10547629	13437374.8	7717975.53	8006024.75	others
sorbose 2	0	0	0	33141.024	37749.288	28532.76	0	0	0	0	0	0	sugars
sorbitol	2417.861	61643.352	74112.64	99064.219	140587.932	112741.391	15535.984	9302.444	21804.468	40246.586	26733.351	35107.232	alcohols
Sophorose 1	39375.189	39077.546	28155.906	72727.14	44462.102	100992.178	27245.758	22798.173	27710.945	2184.742	8963.338	9525.972	sugars
shikimic acid	0	0	0	988494.19	799925.3765	611356.563	200483.217	154380.696	108278.175	2111922.29	1199465.87	1133360.11	others
serine 1	0	0	0	0	0	0	0	0	0	13999.281	40211.247	55238.254	amino acids and amides
salicylic acid	184249.319	191484.76	189203.286	25847.917	31628.504	26439.856	96844.397	52205.755	94148.896	119271.216	87984.017	91658.728	others
salicin	44525.2055	45609.044	43441.367	62602.162	65463.965	64033.0635	0	0	0	30473.059	23749.086	17025.113	others
saccharopine 3	2033984.99	3051572.06	2841119.45	4900202.89	5763342.25	5195825.16	3741694.22	3050149.31	4154425.81	5971522.69	3286875.26	3658176.42	others
ribose	845195.704	964840.129	873773.867	1036795.32	1026947.1	840569.931	540646.661	421896.913	534679.547	700874.379	406697.636	408645.177	sugars
"Ribonic acid, gamma-lactone"	0	0	0	151583.126	128276.393	139929.7595	22164.277	22261.5545	22358.832	54083.992	33109.501	37490.66	sugar acids
quinic acid	36494.428	43583.221	43456.694	44392.538	43983.773	36413.685	0	0	0	7342.842	4223.156	5782.999	others
Pyruvic acid	38357.499	44892.391	44334.198	0	0	0	51008.591	34168.665	50542.661	49435.297	40325.512	41760.644	short chain carbon organic acids
pyrophosphate 3	13699.794	16599.244	10800.344	13238.118	16111.867	14674.9925	0	0	0	0	0	0	others
pyridoxine	1065.717	13263.537	7164.627	24155.294	27737.696	20572.892	6515.235	5794.373	7236.097	13921.357	7917.027	10181.965	alcohols
pyridoxal phosphate 1	13405.286	11993.449	12699.3675	0	0	0	49380.417	42352.269	56934.691	107642.2	59655.227	60922.985	others
putrescine 1	70867.618	55830.99	51402.584	0	0	0	61736.894	44823.01	56177.639	115614.579	66798.195	65770.386	others
prostaglandin A2 1	0	0	0	7598.985	14577.52	16453.197	0	0	0	0	0	0	others
pimelic acid	515.886	1244.983	1997.261	9997.201	11113.679	10555.44	0	0	0	0	0	0	long chain carbon organic acids
picolinic acid	22696.916	43452.373	33533.734	0	0	0	0	0	0	73008.085	44708.486	45737.288	others
piceatannol 2	29333.93	12214.147	15991.228	177385.992	95640.413	152794.489	17017.676	16237.468	18614.365	31196.186	25978.616	32416.209	others
phenylethylamine	0	0	0	0	0	0	10649.922	8938.477	12361.367	0	0	0	others
phenylacetaldehyde 1	0	0	0	267014.932	228188.654	166574.836	0	0	0	0	0	0	others
Phenyl beta-D-glucopyranoside	0	0	0	0	0	0	0	0	0	50117.365	20837.024	33396.223	others
pentadecanoic acid	73381.896	156186.706	114784.301	264293.621	315124.051	269224.63	46729.549	47439.143	48148.737	238209.414	171469.321	160473.378	long chain carbon organic acids
Pelargonic acid	63590.653	83353.188	77553.301	154802.933	134066.239	144434.586	78738.054	57614.529	83447.525	0	0	0	long chain carbon organic acids
panthenol 1	114039.3725	113648.228	114430.517	115645.928	161127.454	134809.587	47885.988	38140.259	61016.483	146530.919	90883.764	98428.133	alcohols
palmitoleic acid	13504.051	78606.475	94785.825	80143.174	136123.816	130040.409	25869.975	23707.283	41503.649	312181.117	243711.507	252458.726	long chain carbon organic acids
palmitic acid	5511699.46	4002328.47	3858829.23	7370068.54	9113188.02	7398682.21	2743178.78	2337900.74	2675150	7585793.5	5262170.97	5358185.12	long chain carbon organic acids
oxamide	0	0	0	82372.803	89491.76	86335.047	0	0	0	0	0	0	others
oxamic acid	0	0	0	264823.114	398079.873	475686.584	0	0	0	785358.562	600596.9205	415835.279	amino acids and amides
ornithine 1	33140.803	891984.408	923960.993	477270.468	825489.721	676404.553	69610.904	69833.619	101484.81	1596409.58	1181215.85	1107940.43	amino acids and amides
O-phosphonothreonine 4	3269.7395	4427.26	2112.219	0	0	0	0	0	0	16521.425	12122.891	14322.158	amino acids and amides
O-methylthreonine 1	55569.73	137157.906	122383.796	423041.052	548155.392	364138.529	216270.119	135589.399	233013.349	149174.472	101275.736	122421.567	amino acids and amides
oleic acid	160957.154	205194.03	159503.867	270033.579	327371.716	231609.936	109624.175	72734.93	116398.462	330908.334	165807.339	175829.745	long chain carbon organic acids
Octadecanol	0	0	0	10407.116	9286.8235	8166.531	0	0	0	0	0	0	alcohols
O-acetylserine 2	4004690.27	6702257.1	6046797.31	6576334.7	6887733.4	5738876.35	5197514.66	3172336.9	4222855.61	1264390.67	660445.123	757868.125	amino acids and amides
noradrenaline	0	0	0	0	0	0	0	0	0	123867.331	105500.82	104656.464	alcohols
nicotinic acid	0	0	0	211458.686	194077.371	186695.491	0	0	0	0	0	0	others
N-ethylmaleamic acid 1	0	0	0	77752.6	126023.303	111828.069	0	0	0	0	0	0	others
N-epsilon-Acetyl-L-lysine 2	0	0	0	32017.348	37638.775	34828.0615	0	0	0	44551.027	24998.787	30633.809	amino acids and amides
Neohesperidin	360406.315	379676.874	346731.974	667020.229	980292.354	828670.193	151698.263	124425.598	162043.587	482267.205	209009.683	265194.47	others
N-Carbamylglutamate 4	0	0	0	15571.798	15565.383	15578.213	24664.383	15912.296	33416.47	45246.984	38727.61	43518.739	amino acids and amides
N-alpha-Acetyl-L-ornithine 3	84548.95	465322.054	453035.702	1724468.73	110879.311	2196327.61	354572.55	261610.264	455286.318	925848.847	730950.677	746421.249	amino acids and amides
N-Acetyl-L-phenylalanine 2	45237.598	56021.128	53923.103	164530.019	184537.481	149050.173	50863.97	37729.208	57217.614	136475.849	89451.417	90665.843	amino acids and amides
N-Acetylisatin 2	7879.636	8179.782	7579.49	28670.031	33741.381	28274.256	0	0	0	9471.263	5313.887	7604.338	amino acids and amides
N-Acetyl-beta-D-mannosamine 4	171306.777	162656.905	146120.421	0	0	0	0	0	0	0	0	0	others
N-Acetyl-beta-alanine 1	0	0	0	96040.939	103499.278	94671.186	0	0	0	0	0	0	amino acids and amides
"N,N-dimethylarginine"	80175.09	114603.188	106940.377	152978.64	191196.139	158072.753	54189.539	45902.77	53806.748	103852.766	60197.434	60167.257	amino acids and amides
Myristic Acid	119311.369	108033.67	111896.988	275316.931	318807.634	261496.6	47523.63	39731.381	44509.897	256408.527	190402.49	176535.942	long chain carbon organic acids
myo-inositol	102455.889	98018.262	86465.911	335423.17	333275.895	322379.518	60635.462	54462.56	63893.893	246112.087	144098.049	147427.627	alcohols
mucic acid	8777.405	12108.769	12339.341	10086.4865	10772.483	9400.49	0	0	0	16625.898	10714.86	10335.902	short chain carbon organic acids
Monostearin	388460.106	478379.424	468691.901	866952.36	1195455.01	930410.196	226183.872	256531.676	249261.614	277949.653	254158.588	179191.333	esters
Methylmalonic acid	0	0	0	0	0	0	0	0	0	22788.761	14376.596	17261.439	short chain carbon organic acids
Methyl-beta-D-galactopyranoside	0	0	0	76668.456	77130.589	63468.36	0	0	0	0	0	0	others
Methyl yellow	0	0	0	0	0	0	25316.856	21802.935	31633.773	62066.807	30183.981	30379.37	others
Methyl Palmitoleate	155598.992	242139.639	216980.237	1253249.31	1414767.84	1321752.77	711094.635	606158.283	858406.985	1113943	608242.512	724257.733	esters
melibiose 2	69105.332	159079.729	146701.192	200289.836	198918.196	185512.389	0	0	0	53569.202	29875.957	41722.5795	sugars
mannose 2	380767.64	393693.042	398147.901	1102277.66	1136562.89	1006971.4	64233.046	58019.986	62793.484	232137.985	150219.597	136705.578	sugars
mannitol	160859.88	153725.843	146614.756	282131.997	478812.289	282827.603	409281.675	288919.45	370314.94	118618.211	68637.974	65097.354	alcohols
malonic acid 1	143538.17	133018.909	113408.964	271739.538	255453.925	214528.358	196738.26	115758.892	121849.043	284887.2	179839.359	176453.521	short chain carbon organic acids
Maleamate 1	0	0	0	48773.31	47685.4	38982.696	0	0	0	16618.803	15067.3485	13515.894	others
Lyxose 1	151430.191	176890.993	160352.139	311549.174	312471.013	274100.742	84819.524	150340.454	80863.687	184497.376	108854.638	116321.564	sugars
L-Threose 2	24882.526	24302.201	24592.3635	150790.732	231320.605	172455.194	0	0	0	63902.187	43131.051	43532.566	sugars
L-Malic acid	135304.675	243477.244	189367.721	39251.508	45251.656	37530.502	175581.677	163610.239	180375.721	486137.429	314992.525	328495.682	short chain carbon organic acids
L-kynurenine 1	0	0	0	5181.837	5162.679	40074.17	1419.869	1801.0535	2182.238	16231.079	15810.337	15389.595	amino acids and amides
Linoleic acid methyl ester	1819454.54	2614691.27	1845702.06	7867004.28	8166446.19	9594124.21	5931979.98	5914088.61	7593165.84	7958908.93	4938748.83	5110595.82	esters
Levoglucosan	6736.385	7342.933	7343.115	67941.742	67884.961	7476.761	33375.697	22099.573	36948.281	46886.088	27938.173	39657.473	sugars
lauric acid	64465.338	58275.666	54245.971	176431.753	202880.948	162687.583	31114.319	20164.908	31671.142	137624.771	105614.149	91906.518	long chain carbon organic acids
lactose 2	0	0	0	484707.613	558063.122	554243.658	0	0	0	121431.879	84840.952	87684.998	sugars
Lactobionic Acid 1	119094.467	110955.874	102817.281	245077.2165	257872.279	232282.154	0	0	0	50269.284	55099.704	45438.864	sugar acids
lactic acid	8419503.26	10322031.3	9921180.53	73827543.9	79062533.8	75291396.6	3666045.12	1976897.79	3841630.18	31183164.5	18348171.4	19372547.4	short chain carbon organic acids
Lactamide 2	16134.674	21129.33	21184.979	0	0	0	10603.423	11056.9165	11510.41	0	0	0	others
Itaconic acid	52660.656	31837.908	42249.282	35872.666	32861.211	27972.592	34644.47	23246.905	20558.025	33603.393	21336.778	26364.499	short chain carbon organic acids
Isoxanthopterin	0	0	0	41403.225	50413.055	40591.161	0	0	0	0	0	0	others
Isoleucine	0	0	0	60646.776	59269.105	55929.562	0	0	0	12222.026	12078.134	11811.704	amino acids and amides
indole-3-acetamide 3	0	0	0	31797.269	36681.004	29180.444	8753.053	7974.602	9255	17597.598	10224.279	10509.899	others
hydroxyurea	0	0	0	31161.687	36301.157	27764.247	0	0	0	10412.775	10087.61	10737.94	others
hydroxylamine	230339.155	326627.468	318549.865	0	0	0	55393.463	42190.935	61022.343	1239139.18	977563.249	1093712.75	others
hydroquinone	9848.572	14725.668	13515.839	0	0	0	9011.037	9422.571	14228.904	23720.866	17562.193	22298.109	others
"Hydantoin, 5-(4-hydroxybutyl)- 2"	598186.0195	524819.739	671552.3	193935.942	387236.453	363186.817	90759.212	81107.841	160988.516	1195676.25	1066528.84	1046232.5	others
Homovanillic acid	72939.07	256362.749	248660.159	108107.655	124104.315	102660.68	61912.399	50962.594	66161.948	103839.243	62309.496	64814.606	others
glycolic acid	2042001.83	2952460.28	2681521.01	3481081.22	4244498.77	3805808.1	913886.91	655980.044	1009848.41	1224713.72	879032.036	1025921.72	others
glycocyamine 2	36998.561	50160.655	47967.928	61247.029	69983.396	56815.875	10730.033	9623.654	14212.84	31550.43	23898.263	24075.471	amino acids and amides
glycine 2	1298176.94	1980088.37	1997672.98	2134566.96	2273871.87	2045220.45	1463021.5	1137498.89	1521715.28	2024971.42	1380119.48	1475649.48	amino acids and amides
glycerol	4104519.99	4899397.29	4368614.26	15292014.2	14572782.8	14042668.7	3200630.68	2557338.5	3367057.79	11647349.1	9988228.21	10544807.9	alcohols
Glutaric Acid	36036.5535	36552.495	35520.612	51758.363	54509.725	49142.45	16466.603	14140.162	15303.3825	42438.427	30387.796	28252.021	short chain carbon organic acids
glucose-6-phosphate 1	62594.279	427537.213	400713.832	632551.512	903322.047	846344.199	151884.846	131404.786	216653.574	1315706.39	760016.284	800103.012	others
Glucose-1-phosphate	241944.324	425465.888	220182.479	603924.321	1066932.54	767850.535	338467.584	264094.765	564480.636	769178.748	510986.163	633229.887	others
glucose 1	2462623.663	2568227.739	2538706.238	5131229.26	5216353.61	4650389.302	409774.535	375808.869	396325.917	1449674.036	953202.195	884980.006	sugars
Glucosaminic acid	0	0	0	63944.414	61816.7785	59689.143	0	0	0	3862.063	4978.276	2745.85	others
Gluconic lactone 1	33097.073	36045.702	35251.543	83598.603	85337.987	75625.401	19176.005	14596.725	20607.757	66405.679	43560.3	41426.728	esters
gluconic acid 1	251867.921	449864.901	385501.16	1283708.74	1290853.08	1054569.67	366441.4	198025.728	258721.449	471803.943	367624.371	438357.96	sugar acids
Glucoheptonic acid 2	0	0	0	143402.501	173770.593	142543.322	0	0	0	0	0	0	sugar acids
Gentiobiose 2	0	0	0	234329.61	239089.639	261111.076	0	0	0	142372.778	128161.882	114037.814	sugars
galactose 1	16115.894	16053.9795	15992.065	62698.643	58834.532	81122.565	11810.901	11706.6285	11602.356	24713.625	15895.671	17007.807	sugars
Galactonic acid	5742.376	14132.211	16678.087	108808.146	101275.012	103908.632	7115.047	2863.539	7054.068	11228.216	4911.066	8045.82	sugar acids
Galactinol 3	0	0	0	190255.18	97707.143	167594.503	0	0	0	0	0	0	alcohols
fumaric acid	55543.482	78395.456	77742.352	27106.742	38707.221	28011.2	24970.938	20235.705	22612.43	50143.274	38794.289	44283.152	amino acids and amides
fucose 2	0	0	0	26617.694	24904.841	25696.456	0	0	0	0	0	0	sugars
fructose-6-phosphate	0	0	0	11406.5845	11744.286	11068.883	1842.419	2550.474	3919.317	8416.512	3739.072	5931.882	others
"Fructose 2,6-biphosphate degr prod 1"	0	0	0	16292.264	36153.922	29395.491	0	0	0	18640.573	13718.402	9960.837	sugars
fructose 1	9594006.59	10068529.24	8754981.19	17279211.73	19076079.87	13592043.49	458171.286	953970.79	1030372.489	5494148.62	3377290.05	3191051.55	sugars
flavin adenine degrad product	149646.376	185647.787	150924.519	26242.494	44454.24	21076.605	71523.745	56244.537	63590.203	164852.539	106033.791	96020.602	nucleotides
Ethanolamine	1388034.22	1510888.51	1633742.8	2301538.83	2451159.03	2246374.05	1148445	1002642.43	1075543.715	1776169.48	1448600.05	1456425.98	others
Erythrose 2	77713.172	118200.566	111700.19	746891.58	812494.098	686277.035	18658.907	14486.724	18388.91	537278.71	388459.801	373070.019	sugars
Erythrose 1	322148.514	390877.57	352620.61	4067767.36	4344035.54	3523202.44	57203.992	46492.447	63167.772	3210690.01	2335544.95	2181842.12	sugars
Elaidic acid	5447.3615	5548.365	5346.358	28443.254	32603.986	25073.246	4540.9135	4738.918	4342.909	22987.663	9443.641	16215.652	long chain carbon organic acids
Dodecanol	0	0	0	0	0	0	4176.917	4318.9955	4461.074	0	0	0	alcohols
DL-dihydrosphingosine 1	128434.835	127569.768	126704.701	0	0	0	239353.133	165369.208	235513.078	0	0	0	alcohols
DL-Anabasine 1	0	0	0	24404.097	25455.444	25663.149	0	0	0	0	0	0	others
Dioctyl phthalate	237029.494	139696.787	123350.401	728155.636	747921.992	729459.681	126896.874	105081.534	120828.884	1974652.77	1121583.69	1407228.58	esters
Dihydroxyacetone	0	0	0	2205656.78	2425889.03	2124847.71	0	0	0	42299.012	35559.16	28819.308	sugars
Diglycerol 2	335879.52	383532.929	353467.238	693028.738	738418.42	566225.59	154902.086	113812.255	150876.457	187159.176	109461.945	113101.445	esters
Diglycerol 1	82569.049	91339.482	84397.392	147608.699	151694.416	122963.767	27818.411	13220.159	12791.505	40659.157	27218.992	30239.121	esters
Digalacturonic acid 2	0	0	0	71049.271	59034.436	50155.386	0	0	0	0	0	0	others
D-Glyceric acid	400209.215	502840.45	506331.96	373510.972	377069.988	345243.332	196845.858	151541.793	184951.287	179883.474	118909.818	130064.615	short chain carbon organic acids
d-Glucoheptose 2	87769.832	71951.033	65086.934	623880.702	381380.434	455849.288	52854.453	40093.439	49582.962	137310.18	68243.891	72131.087	sugars
D-erythronolactone 1	19198.943	19256.944	19140.942	13432.8785	15499.863	11365.894	11402.317	9850.054	8297.791	20695.24	16471.993	17088.124	esters
Dehydroascorbic Acid 1	56349.643	58445.989	49086.51	0	0	0	0	0	0	84574.601	39754.274	44719.105	others
Dehydroabietic Acid	0	0	0	109550.576	132345.179	130130.994	0	0	0	0	0	0	others
D-Altrose 1	408629.3795	401788.782	415469.977	261261.152	434142.857	376005.531	32263.614	18509.956	31309.362	109391.839	52807.259	57719.025	others
D-alanyl-D-alanine 2	0	0	0	122276.004	128000.884	103563.172	0	0	0	56362.003	37401.052	40506.772	amino acids and amides
cytidine-monophosphate degr prod	103067.496	111418.742	94716.25	67279.007	77667.7595	88056.512	0	0	0	0	0	0	others
cyclohexylsulfamic acid 1	16988.632	15963.854	15957.136	10465.752	12505.182	11485.467	21070.112	16106.238	17890.442	30060.288	22328.159	20985.146	others
cyclohexylamine	858622.766	1183265.39	1283226.78	2961440.62	2978424.66	2387545.53	373075.68	390480.393	476413.127	11195631.9	9312172.53	10592783.1	others
Cumic Acid	47418.388	54236.669	64902.093	77714.908	65188.854	81398.521	50331.343	43306.789	55040.873	61519.682	58747.153	73353.942	others
creatine	95447.364	97271.854	93622.874	670848.701	780608.509	610564.966	0	0	0	50232.888	34985.872	45169.857	others
conduritol b epoxide 2	69450.925	64564.382	53140.124	1528191.33	1217075.38	1242794.78	35548.069	23915.898	39474.144	174030.363	104913.622	102942.858	others
citric acid	82789.9195	90266.802	75313.037	0	0	0	31234.623	32044.054	35427.373	42067.435	36634.797	29278.977	short chain carbon organic acids
Citramalic acid	50551.559	56134.314	52486.558	140391.625	146891.994	131686.588	61611.106	47581.793	58408.697	131601.068	90794.489	100219.529	short chain carbon organic acids
Citraconic acid 2	22909.198	27373.196	24944.06	58329.334	50003.521	33079.976	0	0	0	75435.386	42275.224	47903.521	esters
cis-sinapinic acid	0	0	0	11950.452	44129.423	37002.585	536.813	2319.505	4102.197	17556.154	727.762	640.16	others
Cetadiol 2	18188.639	19475.374	16901.904	33058.458	54012.72	59060.167	10977.503	12635.578	20296.301	64779.703	59494.34	53160.215	alcohols
cellobiose 2	76777.554	52620.593	77457.081	145014.083	210170.132	200190.049	56403.488	46800.503	45814.961	0	0	0	sugars
Carbobenzyloxy-L-leucine	0	0	0	0	0	0	55697.005	39465.093	61386.107	75626.912	47566.397	49275.62	amino acids and amides
carbamoyl-aspartic acid 1	0	0	0	34286.119	31250.698	44316.784	0	0	0	0	0	0	amino acids and amides
Capric Acid	0	0	0	15170.358	11619.372	11755.231	0	0	0	0	0	0	long chain carbon organic acids
canavanine degr prod	108557.063	164839.337	158933.003	236447.842	263089.849	217085.523	159930.502	112267.408	154702.507	174958.164	147029.302	160206.327	others
caffeic acid	7074.551	6142.727	6997.44	19411.39	25567.689	17340.819	5010.296	2967.547	5088.163	7150.665	4480.762	5340.986	others
Biuret 3	0	0	0	17776.123	22262.421	16735.824	0	0	0	0	0	0	others
beta-Mannosylglycerate 2	164155.684	165326.158	168851.95	390264.095	344508.268	281916.098	103113.856	67142.795	90507.913	254995.018	148342.323	143046.882	esters
beta-Glutamic acid 1	69992.038	99165.129	93452.881	82908.836	91412.358	77802.12	54553.452	39204.893	51268.558	55839.607	36697.864	37997.721	amino acids and amides
beta-Alanine 2	16857.279	71168.022	71786.311	0	0	0	57538.356	54222.564	65140.088	101640.46	86024.612	98160.014	amino acids and amides
Benzylsuccinic acid	271369.009	363427.861	365404.543	660311.379	783185.064	643617.444	69397.965	56614.642	50062.344	332080.799	207645.402	246692.745	others
Benzylamine	0	0	0	15890.747	16769.608	13958.174	0	0	0	0	0	0	others
Behenic acid	34745.6695	48652.907	20838.432	83821.344	143475.489	111794.555	0	0	0	0	0	0	long chain carbon organic acids
azelaic acid	461552.444	566138.958	535099.799	1822739.06	2080458.95	1632554.04	409220.057	304824.682	481429.254	1303898.66	830718.102	828052.738	long chain carbon organic acids
Atrazine-2-hydroxy 3	136000.9485	140491.499	131510.398	0	0	0	0	0	0	159540.873	94557.642	101450.372	sugar alcohols
ascorbate	0	0	0	116073.57	117104.261	116588.9155	0	0	0	0	0	0	esters
arginine	0	0	0	0	0	0	89970.106	73038.414	106901.798	123479.8125	107231.07	139728.555	amino acids and amides
Arachidic acid	36657.778	40053.799	34091.943	95216.55	104624.575	98534.732	32670.297	30978.003	37190.622	71427.911	32507.254	37786.465	long chain carbon organic acids
androsterone 1	0	0	0	0	0	0	22921.185	14829.058	21814.199	0	0	0	others
Anandamide 2	35874.907	40934.112	30815.702	60240.534	80903.882	39577.186	20213.7955	19000.407	21427.184	0	0	0	others
Aminooxyacetic acid	42630.3245	46009.396	39251.253	71551.851	92895.878	97689.819	0	0	0	82540.236	60137.757	73925.567	others
alpha-D-glucosamine 1-phosphate	0	0	0	15068.398	20646.95	16456.466	0	0	0	42421.327	25997.346	27423.669	others
Allantoic acid 1	0	0	0	100771.231	102502.628	92411.646	0	0	0	42069.997	23778.303	32924.15	others
alanine 1	132464.88	112179.074	152750.686	0	0	0	0	0	0	57600.519	81431.675	90836.357	amino acids and amides
adipic acid	113647.341	84928.165	76034.352	168839.283	84327.061	70796.551	33182.903	19962.719	25007.805	100625.413	60926.136	64524.796	short chain carbon organic acids
Adipamide 5	0	0	0	100661.763	167724.566	94199.01	0	0	0	0	0	0	others
acetanilide 2	0	0	0	284647.825	313304.589	245254.715	0	0	0	0	0	0	others
6-phosphogluconic acid	29365.913	33158.049	25573.777	23828.591	78778.434	52462.888	0	0	0	0	0	0	sugar acids
6-deoxy-D-glucose 1	55743.051	30363.5415	4984.032	115785.914	94169.076	75637.769	5148.752	5814.304	5481.528	0	0	0	sugars
5-Methoxypsoralen	95898.597	260576.991	257693.067	139545.054	261138.928	200341.991	190669.768	153697.074	219796.538	395164.731	270379.004	260911.675	esters
5-Hydroxyindole-3-acetic acid 1	24158.528	38771.647	35776.429	28282.521	747.933	29357.033	27997.296	30193.492	32389.688	23213.0805	23315.156	23111.005	others
"5beta-androstane-3,17-dione"	28339.031	120854.857	124336.264	199101.086	307069.157	315207.843	156701.041	126375.026	181823.512	253352.215	218590.103	202687.262	others
4-Pyridoxic acid	15169.136	16296.088	14042.184	0	0	0	0	0	0	3301.351	4893.877	4663.046	others
4-Methylbenzyl alcohol	0	0	0	177493.241	150865.105	132015.487	0	0	0	0	0	0	alcohols
4-HYDROXYPYRIDINE	0	0	0	0	0	0	0	0	0	191247.251	130014.39	150523.424	others
4-hydroxyphenylacetic acid	0	0	0	0	0	0	0	0	0	6428.6555	6652.148	6205.163	others
4-Hydroxycyclohexanecarboxylic acid	5609.216	5688.82	5529.612	0	0	0	0	0	0	4669.2325	4105.178	5233.287	others
4-hydroxybutyrate	203361.191	291534.088	345609.123	8391636.57	8947544.61	7780172.47	207217.17	134060.378	243039.5	3220738.25	1706634.68	1649140.67	esters
4-Hydroxybenzoic acid	30984.3505	28416.602	33552.099	53522.504	61242.13	65155.42	0	0	0	47968.79	42734.6835	37500.577	others
4-aminobutyric acid 1	19033.802	369900.442	376249.925	287295.109	359883.455	331287.529	372512.837	333260.395	487091.876	601511.449	423670.822	456733.027	others
"4',7-dihyroxyflavanone 2"	17829.249	39539.966	33444.41	38136.496	51161.75	73159.55	44318.382	33463.528	47245.894	134304.436	124398.433	108181.504	others
3-ureidopropionate 2	41293.708	36763.835	45823.581	48259.078	60089.076	54174.077	0	0	0	0	0	0	esters
3-phosphoglycerate	20385.339	19177.18	21593.498	0	0	0	108.67	344.028	226.349	0	0	0	others
3-Methyloxindole 2	100121.705	308233.74	320873.38	834765.026	907033.253	545056.403	651749.254	554971.92	547342.375	705607.608	390456.546	391426.404	others
3-Hydroxypropionic acid 1	2170790.72	3786308.89	3755783.37	2036301.67	2045293.4	2034795.71	4136471.6	2830502.52	4109786.14	2102430.47	1700477.73	1506105.06	others
3-Hydroxypalmitic acid	14462.486	19132.521	17921.768	62224.566	81347.573	65893.935	0	0	0	10540.676	7965.3845	5390.093	others
3-Hydroxynorvaline 2	0	0	0	204394.238	221761.915	253087.328	0	0	0	0	0	0	amino acids and amides
3-hydroxy-L-proline 3	12092.096	14472.253	14780.343	86161.526	96900.64	73434.167	0	0	0	45032.151	30268.236	31381.26	amino acids and amides
3-hydroxybutyric acid	78540.977	86240.918	97135.625	218928.854	228402.014	188851.449	31866.174	23338.187	30524.637	56027.242	45587.529	37684.964	short chain carbon organic acids
